1.660634547591069463e+02,2.620413573700954402e+01
1.691891891891892215e+02,2.911585365853658303e+01
1.745945945945946391e+02,3.204268292682927211e+01
1.832432432432432279e+02,3.176829268292683039e+01
1.875675675675676075e+02,2.966463414634146289e+01
1.940540540540540633e+02,3.003048780487804947e+01
1.994594594594594241e+02,2.993902439024390105e+01
2.037837837837838038e+02,3.048780487804878092e+01
2.102702702702702595e+02,3.094512195121951237e+01
2.135135135135135442e+02,3.158536585365853000e+01
2.275675675675675507e+02,3.350609756097561132e+01
2.340540540540540633e+02,3.487804878048780211e+01
2.394594594594594241e+02,3.533536585365853711e+01
2.491891891891892215e+02,3.524390243902438868e+01
2.608578143360751938e+02,3.599244432661718207e+01
2.805640423031727551e+02,3.640013879358742344e+01
3.003848413631022254e+02,3.676100212089077246e+01
3.207520564042303590e+02,3.661784199363732739e+01
3.409266409266409141e+02,3.677146455082563392e+01
3.610693301997650337e+02,3.679762062566278047e+01
3.810810810810810381e+02,3.597560975609756184e+01
4.005405405405405190e+02,3.121951219512194697e+01
4.207990599294947174e+02,2.694280554082714829e+01
4.405405405405405759e+02,2.399390243902438868e+01
4.610810810810809812e+02,2.097560975609755829e+01
4.805405405405405759e+02,1.823170731707316605e+01
5.023736780258519161e+02,1.556069997811779260e+01
5.197884841363102169e+02,1.365137147780638927e+01
5.390364277320798010e+02,1.195080979465920556e+01
5.592009400705053395e+02,1.026643690349946425e+01
5.793654524089306506e+02,8.940181239757055920e+00
5.995299647473559617e+02,7.751626819627876586e+00
6.196944770857815001e+02,6.615944037404797307e+00
6.398589894242068112e+02,5.463342331051768141e+00
6.581903642773206684e+02,4.889978791092258525e+00
